7069896it [05:12, 22650.58it/s]
0 1000014202 79780
1 1000015309 79771
2 1000018296 76515
3 1000010653 75829
4 1000010538 74207
5 1000010108 70753
6 1000010110 69151
7 1000010170 68377
8 1000010136 66597
9 1000010100 66086
10 1000018290 58907
11 1000004141 58820
12 1000010667 58660
13 1000012993 57380
14 1000018294 57061
15 1000010061 54364
16 1000010393 53506
17 1000010128 51315
18 1000005956 48453
19 1000018246 47030
20 1000010151 45673
21 1000012989 44294
22 1000010551 44160
23 1000018286 43652
24 1000011349 42981
25 1000005509 42625
26 1000010661 42095
27 1000010055 40805
28 1000012991 39947
29 1000010547 39832
30 1000008925 38704
31 1000001851 33912
32 1000014199 33796
33 1000014047 32810
34 1000012965 31020
35 1000010053 30533
36 1000010086 30431
37 1000009052 29762
38 1000014217 29505
39 1000008782 29452
40 1000020845 28285
41 1000010961 27836
42 1000002648 27332
43 1000014252 27281
44 1000010379 27238
45 1000001831 27206
46 1000014238 26511
47 1000010608 26110
48 1000002361 25636
49 1000002328 25263
50 1000009054 25201
51 1000010677 24623
52 1000001859 24619
53 1000005910 24435
54 1000014197 23653
55 1000001863 22626
56 1000018298 22476
57 1000007804 21796
58 1000018284 21630
59 1000003983 21444
60 1000008856 21077
61 1000001703 20139
62 1000014219 19659
63 1000010906 19429
64 1000015706 19298
65 1000013017 19208
66 1000018306 18887
67 1000018302 18755
68 1000010047 18338
69 1000010635 18290
70 1000017303 18011
71 1000010361 17937
72 1000014053 17907
73 1000014281 17097
74 1000008958 17066
75 1000002472 17010
76 1000010126 16593
77 1000014154 16181
78 1000011401 16165
79 1000010383 16161
80 1000014287 16033
81 1000018838 15760
82 1000004153 15637
83 1000009084 15301
84 1000007138 15181
85 1000008770 15097
86 1000014152 14950
87 1000018178 14910
88 1000010663 14793
89 1000014030 14711
90 1000001853 14598
91 1000010645 14543
92 1000002638 14356
93 1000011046 14281
94 1000004056 14204
95 1000010001 14197
96 1000011460 14087
97 1000014347 14037
98 1000008780 13840
99 1000001784 13642
100 1000011427 13492
101 1000018742 13415
102 1000006002 13367
103 1000013033 13306
104 1000002644 13273
105 1000004313 13145
106 1000015662 13049
107 1000008939 12976
108 1000010067 12942
109 1000019516 12915
110 1000004019 12825
111 1000008956 12673
112 1000016738 12656
113 1000013776 12494
114 1000003796 12490
115 1000012558 12296
116 1000010681 11788
117 1000014488 11783
118 1000011423 11608
119 1000007345 11501
120 1000010120 11492
121 1000010082 11485
122 1000015334 11346
123 1000010116 11319
124 1000007118 11294
125 1000010132 11256
126 1000017901 11209
127 1000012585 11192
128 1000003246 11045
129 1000018499 11037
130 1000010153 10690
131 1000017055 10606
132 1000015340 10576
133 1000010026 10519
134 1000014008 10470
135 1000003956 10265
136 1000010641 10215
137 1000012900 10173
138 1000019772 10161
139 1000021533 10095
140 1000003813 10075
141 1000014222 10027
142 1000006016 10019
143 1000010401 10011
144 1000008852 9885
145 1000008786 9881
146 1000011377 9880
147 1000001729 9730
148 1000018229 9652
149 1000011418 9632
150 1000012949 9567
151 1000014250 9552
152 1000004016 9547
153 1000008952 9440
154 1000014285 9272
155 1000002650 9244
156 1000010020 9180
157 1000014215 9143
158 1000002250 9141
159 1000014206 9140
160 1000004085 9127
161 1000016748 9093
162 1000001743 9044
163 1000014561 8966
164 1000014226 8955
165 1000009993 8916
166 1000008866 8869
167 1000014243 8801
168 1000014156 8795
169 1000001763 8685
170 1000014115 8542
171 1000018292 8531
172 1000006064 8497
173 1000001752 8411
174 1000012983 8408
175 1000018480 8397
176 1000005874 8392
177 1000003593 8391
178 1000010556 8384
179 1000002606 8351
180 1000006187 8295
181 1000014038 8290
182 1000006724 8241
183 1000005800 8233
184 1000014102 8189
185 1000004147 8050
186 1000003787 7940
187 1000012447 7919
188 1000014267 7839
189 1000001725 7825
190 1000018844 7786
191 1000014213 7754
192 1000018304 7748
193 1000002781 7616
194 1000010647 7615
195 1000014224 7590
196 1000003228 7463
197 1000009088 7438
198 1000014233 7413
199 1000012540 7217
200 1000017771 7205
201 1000010377 7115
202 1000014210 7097
203 1000015802 7068
204 1000010722 7044
205 1000015468 7000
206 1000003945 6897
207 1000003400 6852
208 1000018386 6815
209 1000001844 6813
210 1000001972 6810
211 1000006137 6800
212 1000012975 6750
213 1000014276 6674
214 1000016662 6638
215 1000010029 6620
216 1000018150 6602
217 1000010112 6584
218 1000005531 6570
219 1000010049 6485
220 1000018826 6481
221 1000020863 6474
222 1000003977 6347
223 1000010718 6296
224 1000005850 6295
225 1000004307 6230
226 1000009950 6177
227 1000002646 6174
228 1000010065 6147
229 1000003361 6060
230 1000002563 6059
231 1000000364 6052
232 1000002597 6052
233 1000003659 6049
234 1000003713 5997
235 1000014208 5995
236 1000016408 5994
237 1000010090 5980
238 1000018242 5978
239 1000014026 5953
240 1000014032 5936
241 1000010554 5895
242 1000001857 5826
243 1000021541 5798
244 1000018254 5789
245 1000018282 5752
246 1000014042 5722
247 1000019532 5720
248 1000015769 5693
249 1000010124 5692
250 1000014318 5667
251 1000014263 5649
252 1000011048 5640
253 1000012961 5617
254 1000008941 5606
255 1000010106 5600
256 1000002002 5561
257 1000002695 5508
258 1000002548 5489
259 1000015763 5470
260 1000004014 5442
261 1000015423 5429
262 1000000422 5421
263 1000011464 5400
264 1000018176 5379
265 1000013129 5341
266 1000002642 5340
267 1000011448 5339
268 1000008966 5327
269 1000001939 5326
270 1000002334 5322
271 1000001769 5299
272 1000011388 5291
273 1000017945 5277
274 1000012028 5256
275 1000002324 5243
276 1000010094 5222
277 1000014283 5212
278 1000014247 5147
279 1000005274 5140
280 1000008759 5135
281 1000012291 5134
282 1000005934 5130
283 1000005960 5120
284 1000012509 5113
285 1000016342 5110
286 1000015852 5065
287 1000001756 5056
288 1000014204 5048
289 1000020839 5042
290 1000011473 5035
291 1000010078 5033
292 1000008933 5016
293 1000015472 4993
294 1000018280 4987
295 1000008772 4947
296 1000021436 4942
297 1000000249 4908
298 1000014311 4901
299 1000010789 4871
300 1000010778 4869
301 1000001735 4829
302 1000003963 4802
303 1000011397 4789
304 1000015850 4780
305 1000006949 4772
306 1000015782 4768
307 1000012143 4767
308 1000011435 4765
309 1000018244 4746
310 1000010039 4719
311 1000001962 4683
312 1000014290 4675
313 1000010164 4644
314 1000015543 4643
315 1000002553 4642
316 1000001855 4624
317 1000004303 4610
318 1000002520 4578
319 1000011566 4552
320 1000010585 4552
321 1000014022 4546
322 1000019645 4546
323 1000010114 4491
324 1000014229 4448
325 1000004169 4441
326 1000014092 4431
327 1000008868 4424
328 1000003986 4422
329 1000012556 4417
330 1000006687 4402
331 1000012583 4387
332 1000002856 4378
333 1000005920 4358
334 1000001945 4357
335 1000012414 4323
336 1000014245 4273
337 1000014051 4258
338 1000008365 4254
339 1000009958 4237
340 1000002239 4204
341 1000010088 4203
342 1000019766 4195
343 1000010092 4174
344 1000005986 4170
345 1000014272 4154
346 1000014150 4153
347 1000015498 4141
348 1000007265 4107
349 1000005454 4101
350 1000004305 4094
351 1000012889 4086
352 1000002194 4057
353 1000010935 4043
354 1000010884 4041
355 1000014322 4038
356 1000018300 4016
357 1000012957 4008
358 1000004067 3986
359 1000019077 3974
360 1000018372 3954
361 1000017663 3948
362 1000015454 3939
363 1000002788 3934
364 1000008788 3910
365 1000007142 3903
366 1000018170 3901
367 1000002872 3848
368 1000003974 3845
369 1000007158 3844
370 1000010610 3836
371 1000010542 3826
372 1000000802 3806
373 1000018505 3801
374 1000002604 3797
375 1000014279 3764
376 1000012147 3761
377 1000001759 3748
378 1000000428 3722
379 1000008791 3712
380 1000018278 3711
381 1000006569 3701
382 1000014010 3700
383 1000014331 3698
384 1000001861 3687
385 1000000526 3668
386 1000005473 3642
387 1000020135 3636
388 1000001960 3633
389 1000004095 3628
390 1000016272 3628
391 1000005796 3625
392 1000016908 3606
393 1000015834 3592
394 1000005978 3589
395 1000010998 3588
396 1000012131 3585
